file	line	evidence	classification	resolution	owner_phase
src/llama/gguf_meta.rs	1509	Path::new(&h).join(".config/llama-monitor/models/Qwopus3.6-27B-v2-MTP-Q6_K.gguf")	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/llama/gguf_meta.rs	1535	Path::new(h).join(".config/llama-monitor/models/gemma-4-31B-it-qat-UD-Q4_K_XL.gguf")	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/llama/gguf_meta.rs	1563	Path::new(h).join(".config/llama-monitor/models/Qwen3-Coder-Next-Huihui-Opus-4.6-Reasoning-Distilled-abliterated-IQ4_XS.gguf")	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/llama/gguf_meta.rs	1656	let models = Path::new(&home).join(".config/llama-monitor/models");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/llama/spawn_wizard.rs	624	// Windows: %APPDATA%\Jan\models	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/llama/spawn_wizard.rs	655	// Windows: %LOCALAPPDATA%\nomic.ai\GPT4All	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/llama/spawn_wizard.rs	1079	/// Results are cached in `~/.config/llama-monitor/model-cache/<sha256>.json`.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/llama/spawn_wizard.rs	1288	let dir = crate::paths::AppPaths::default_active_root().join("model-cache");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/llama/vram_estimator/tests.rs	716	std::path::Path::new(h).join(".config/llama-monitor/models/Qwen3-Coder-Next-Huihui-Opus-4.6-Reasoning-Distilled-abliterated-IQ4_XS.gguf")	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/main.rs	178	//    - redirect stdout/stderr to %APPDATA%\llama-monitor\logs\llama-monitor.log.	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/models/gguf_import.rs	815	let models = home.join(".config/llama-monitor/models");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2507	let models_dir = home.join(".config/llama-monitor/models");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2517	config_dir: home.join(".config/llama-monitor"),	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2538	models_dir: home.join(".config/llama-monitor/models"),	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2539	config_dir: home.join(".config/llama-monitor"),	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2556	home.join(".config/llama-monitor/runtimes/rapid-mlx/.staging/0.10.10-qualification");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2610	let staging = home.join(".config/llama-monitor/models/rapid-mlx/requantized/.staging");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/gguf_recovery.rs	2619	let runtime_root = home.join(".config/llama-monitor/runtimes/gguf-recovery/r2-v1");	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/models/import_lab.rs	499	anyhow!("worker stderr: traceback at /Users/example/.config/llama-monitor/secret.py");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/models/library.rs	437	bounded_json(&path.join("llama-monitor-conversion.json"))	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/paths.rs	41	pub fn default_active_root() -> PathBuf {	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/paths.rs	80	dirs::config_dir()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/paths.rs	173	let appdata = dirs::config_dir()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/paths.rs	213	paths.certs_dir(),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/repo_context.rs	109	let exe = dir.join("llama-monitor");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/repo_context.rs	142	let exe = bin.join("llama-monitor");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/web/api/lhm.rs	162	let local_app_data = match std::env::var("LOCALAPPDATA") {	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/web/api/lhm.rs	167	&serde_json::json!({"progress": "error: LOCALAPPDATA not set"}),	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	reviewed compatibility or remaining consumer	2,3,8
src/web/api/rapid_mlx_runtime.rs	2473	"uv failed at /Users/person/.config/llama-monitor/runtimes/rapid-mlx/secret"	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/web/api/rapid_mlx_runtime.rs	2581	executable_path: "/Users/person/.config/llama-monitor/private/rapid-mlx".into(),	legitimate-backend-term: preserve technical identifier	reviewed compatibility or remaining consumer	preserve
src/web/api/spawn_wizard.rs	139	Some(AppPaths::default_active_root().join("chat-templates/releases"))	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	600	let dir = AppPaths::default_active_root().join("chat-templates");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	634	let dir = AppPaths::default_active_root().join("chat-templates");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	710	let dest = AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	940	let dest = AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	1069	let dir = AppPaths::default_active_root().join("chat-templates");	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	1168	AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	1231	let dest = AppPaths::default_active_root()	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
src/web/api/spawn_wizard.rs	1498	Some(AppPaths::default_active_root().join("chat-templates"))	runtime-compatibility-identifier: accept through 2.x; canonicalize new values	central AppPaths authority	2,3,8
