key	producer	consumer	storage	migration
llama-monitor-preferences	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,docs/reference/dashboard.md,static/js/compact.js,static/js/features/settings.js,static/js/features/user-menu.js,tests/ui/capture/scenarios/config/appearance-palette.mjs	docs/archive/architecture/20260430-appjs_refactor.md,docs/plans/20260811-local_llm_foundry-rebrand.md,docs/reference/dashboard.md,static/js/compact.js,static/js/features/settings.js,static/js/features/user-menu.js,tests/ui/capture/scenarios/config/appearance-palette.mjs	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-preset-sort	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-previous-position	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/setup-view.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-system-viz	docs/archive/ui-ux/20260424-gpu-system-modernization.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-render.js	docs/archive/ui-ux/20260424-gpu-system-modernization.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-render.js	localStorage	preserve exact key through 2.x; do not silently rename
llama_monitor_context_notes_intro_hidden	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	localStorage	preserve exact key through 2.x; do not silently rename
llama_monitor_sidebar_expanded	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	localStorage	preserve exact key through 2.x; do not silently rename
sidebarCollapsed	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/core/app-state.js,static/js/features/nav.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/core/app-state.js,static/js/features/nav.js	localStorage	preserve exact key through 2.x; do not silently rename
spawn_wizard_tips_collapsed	static/js/features/spawn-wizard.js	static/js/features/spawn-wizard.js	localStorage	preserve exact key through 2.x; do not silently rename
suggestions_custom_categories	static/js/features/chat-suggestions.js	static/js/features/chat-suggestions.js	localStorage	preserve exact key through 2.x; do not silently rename
update-dismissed	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/implementation/20260429-app_update_capability.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/updates.js,tests/ui/chat/chat-updates.spec.js	docs/archive/architecture/20260430-appjs_refactor.md,docs/archive/implementation/20260429-app_update_capability.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/updates.js,tests/ui/chat/chat-updates.spec.js	localStorage	preserve exact key through 2.x; do not silently rename
wizard_view_mode	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/spawn-wizard.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/spawn-wizard.js	sessionStorage-or-localStorage	preserve exact key through 2.x; do not silently rename
llama_monitor_sidebar_width	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-notes.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-notifications	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/toast.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/toast.js	localStorage	preserve exact key through 2.x; do not silently rename
appNavWidth	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/nav.js	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/nav.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-chat-focus-mode	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-focus-mode.js	docs/archive/ui-ux/20260510-adaptive-layout-enhancements.md,docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/chat-focus-mode.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-log-font-size	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js,tests/ui/core/app-shell.spec.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js,tests/ui/core/app-shell.spec.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-log-tail-enabled	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-log-tail-lines	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/dashboard-ws.js	localStorage	preserve exact key through 2.x; do not silently rename
llama-monitor-models-prefs	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/models.js,tests/ui/capture/scenarios/models/models-v2.mjs,tests/ui/core/model-inventory.spec.js	docs/plans/20260811-local_llm_foundry-rebrand.md,static/js/features/models.js,tests/ui/capture/scenarios/models/models-v2.mjs,tests/ui/core/model-inventory.spec.js	localStorage	preserve exact key through 2.x; do not silently rename
template_autoupdater_lastCheck	static/js/features/template-autoupdater.js	static/js/features/template-autoupdater.js	localStorage	preserve exact key through 2.x; do not silently rename
template_autoupdater_busy	static/js/features/template-autoupdater.js	static/js/features/template-autoupdater.js	localStorage	preserve exact key through 2.x; do not silently rename
template_autoupdater_lastStatus	static/js/features/template-autoupdater.js	static/js/features/template-autoupdater.js	localStorage	preserve exact key through 2.x; do not silently rename
